,平台,情感短语,用户印象
0,爱钱帮,"[[['投了5000块钱', '出了一个负面的讨债图片', '没有什么负面', '希望平台安好']]]",['平台安好']
1,点融,"[[['有一年', '没什么散标', '没人气']], [], [['靠前为什么']], [], [], [], [['是出', '出问题', '有人知道']], [['看&quot'], ['准备投', '发现问题多多', '显示1-2天到账'], ['如下1、注册', '注册送2%加息券', '等做', '做处理']], [], [], [['投了几笔体验', '剩点融']], [['退出半月赢', '成坑', '体验最差的一个平台', '投了希望', '希望这周能回款']], [['投了几个标'], ['投资了另外一家上市系平台好又贷']], [['发展稳健客服']], [], [['撸羊毛', '号称投资', '是稳健产品', '冲着这个利息', '投你', '不如投陆金所']], [['预期收益百分之10', '有百分之5']], [['有一对一客服来电', '没有，我是', '是个比较马虎的人', '是发现', '发现微信里有', '有点融的客服'], ['是限量', '知道抢', '得到不']], [['排名第三', '是不错']]]","['平台差', '客服稳健', '产品稳健', '人马虎']"
2,玖富,"[[['投资五万沅']], [['履行职责承诺', '感觉在合法合规方面没什么', '没什么大问题']], [['需要1-3天', '过几天', '引入履约险', '希望利率不要再降']]]","['合规合法', '问题大']"
3,嘉石榴,[[['接手二手转让标预期收益']]],[]
4,合拍在线,"[[['回款日', '有什么区别'], ['算是前无古人']], [], [['是个喜欢装逼的公司', '喜欢装逼', '喜欢耍', '耍些小技俩', '想要装', '装大爷', '想不兑现', '兑现承诺', '看清楚条件', '让你浪费', '浪费了大把时间', '得不到看到的收益']], [], [['标到期了钱', '是要跑路的节奏', '跑路']], [['是很旺', '感觉不太踏实', '投了一小部分资金']], [['就是逾期', '知道怎么做的风控']], [['碰上展期', '让人觉']], [['觉得客服和利息都不错'], ['是长', '就是到期', '要1-3个工作日', '是微醺']], [['取消了展期']], []]","['技俩小', '条件清楚', '时间大', '部分小', '利息不错']"
5,普惠家,"[[['就是把我们当', '当不可描述词', '描述词骗', '没有一点的用处']], [['比起其他平台', '算高', '吸引投资者', '吸引投资者']], [['有意向'], ['错过机会']], [], [['投了7、8次标', '遇到问题', '感觉平台服务很不错']], [['见证了成长', '希望利息节节高']], [['重仓普惠家', '想实地看看', '有机会']], [['是一个老平台', '是做的不错']], [['存银行', '是买', '买车', '希望能实现']], [['不怕会丢', '放心大平台']], [['解决问题', '赞一个'], ['去过他们公司', '看到了真实的质押文物'], ['听说有', '有文物讲课', '有时间']], [['见做', '做过大额', '返现']], [['见过公司高层']], [], [['知道能不能持久']], [['投了这家']]]","['感觉不错', '利息高', '平台老', '平台大', '文物真实']"
6,金银猫,"[[['看了下平台信息', '问为什么平台资金不做', '做托管'], ['是个涉及资金安全的重要环节', '涉及资金安全'], ['希望网站能及时回复', '建立资金托管模式']], [['作为理财中的一部分来计划', '作为首选', '用了一俩年', '看着他逐渐上升'], ['开年红']], [['作为一个老平台', '还是比较靠谱']], [['到账', '遇上双休'], ['体验极差的一个平台']], [['有投资金银猫', '还是比较看好']]]","['资金安全', '资金安全', '网站及时', '平台老', '平台差']"
7,宜民贷,"[[['利用虚假合同', '跑路', '没有任何声明', '泯灭人性', '践踏法律']], [['跑路', '是中国机床总公司广州公司', '属于高危平台', '撤资远离']], [['抢不上标', '是每天想', '想有']], [['投财富', '是同一个大骗子股东李俊'], ['觉得宜民贷和贷贷网会是', '是什么结局']], [['是他的一个P2P']], [['是中机控股公司的金融平台', '是假融资项目', '涉嫌欺诈'], ['担心宜民贷的投友步', '投友步后尘', '提醒大家擦亮', '擦亮眼睛']], [['属众矢之的', '李俊打着国资系旗号', '看看他搞的星辰金服和意投财富是', '投财富', '是个什么烂摊子'], ['还有他的贷贷网现在也人去楼空'], ['成过街老鼠', '害人']], [['是中国机床广州公司', '跑路', '是同样的控股公司'], ['是一皮包公司', '给投资者一个合理解释']], [['看看中机广州公司的套路', '跑路']], [['跑路']], [['投财富', '是骗子老赖李俊搞的鬼把戏造的孽，李俊罪恶深重', '沾满投资者的血汗'], ['扒李俊的罪恶行径', '揪出他', '让他得到', '得到应有的惩罚']], [['有存管', '有ICP', '符合要求']], [['做车贷', '是实物抵', '抵质押']], [], [['骗钱']], [['跑路', '是一家所谓国企', '是老赖骗子公司', '可见宜民贷也好不到', '估计跑路也很快', '跑路']], [], [['是假标']], [['是高危平台', '擦亮双眼', '就是你']], [['投个大平台好平台']], [['看看股东']], [['提供两条建议'], ['展开调查', '导致跑路'], ['没有问题']]]","['合同虚假', '平台高危', '骗子大', '项目假', '投资者合理', '骗子深重', '个大']"
8,新联在线,"[[['是管理费太多']], [['是利息的百分之十']], [], [['喜欢且重仓的一个平台']], [['是不知道', '过6月备案期'], ['敢重仓']], [['听说这平台', '做观察体验感是否不错', '观察体验感']], [['是我重仓的平台'], ['希望多多理财']], [['搞一个', '搞个活动', '点进去显示处理中', '打开网页', '学什么不好学', '学小米', '搞饥饿营销', '吸引小部分人投资', '激怒广大没参与到活动的投资者', '参与到活动', '考虑分散投资', '请珍惜', '珍惜广大投资者的体验']], [['有下降'], ['到账']]]","['管理费多', '体验感不错']"
9,融通资产,[[]],[]
